collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2020040940947,2020,040940947,2,2,1,1,49,8,2,0,0,0,0,0,9,1,E01006903,6,1,1,0,-1
2020140962459,2020,140962459,2,2,1,1,31,6,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2020211022264,2020,211022264,2,2,1,1,39,7,3,0,0,0,0,0,9,4,E01029692,3,1,0,1,-1
2020500961184,2020,500961184,1,1,1,2,37,7,2,0,0,0,0,0,9,10,E01020242,6,1,1,0,-1
2020010247359,2020,010247359,2,1,1,2,46,8,2,0,0,0,0,0,1,-1,-1,-1,0,1,0,-1
2020460944748,2020,460944748,2,1,1,2,28,6,3,0,0,0,0,0,9,1,E01024657,3,1,0,1,-1
2020010285654,2020,010285654,1,1,2,2,58,9,2,0,0,0,4,0,11,2,E01001152,-1,0,1,0,-1
2020010239180,2020,010239180,1,1,2,1,85,11,3,0,0,1,0,0,9,9,E01000349,-1,0,0,1,-1
2020401001864,2020,401001864,1,1,1,1,19,4,2,0,0,0,0,0,9,4,E01017552,7,1,1,0,-1
2020440430575,2020,440430575,1,1,1,2,29,6,3,0,0,0,0,0,9,8,E01022918,-1,0,0.05007,0.94993,-1
2020200991326,2020,200991326,2,1,1,1,15,3,3,0,0,0,0,0,1,5,E01009647,3,1,0,1,-1
2020160954209,2020,160954209,2,2,2,2,51,8,3,0,0,1,0,0,9,8,E01013055,3,1,0,1,-1
2020440038834,2020,440038834,1,1,1,1,49,8,3,0,0,0,0,0,9,6,E01017138,-1,0,0.04855,0.95145,-1
2020522001718,2020,522001718,1,1,1,1,33,6,2,0,0,0,0,0,9,4,E01032516,-1,0,1,0,-1
2020010229703,2020,010229703,1,3,2,1,25,5,3,0,0,0,4,0,11,3,E01001809,-1,0,0,1,-1
2020230984106,2020,230984106,1,1,3,2,1,1,3,5,3,0,0,0,0,9,E01031269,3,1,0,1,-1
2020010276800,2020,010276800,2,1,1,1,36,7,3,0,0,0,0,0,3,1,E01000508,-1,0,0,1,-1
2020010271521,2020,010271521,1,2,2,-1,-1,-1,3,0,0,1,0,0,9,3,E01004421,-1,0,0,1,-1
2020010271528,2020,010271528,2,1,1,1,47,8,3,0,0,0,0,0,9,6,E01000414,-1,0,0,1,-1
2020420973597,2020,420973597,1,1,2,1,18,4,3,0,0,2,0,0,9,-1,-1,3,1,0,1,-1
2020440025535,2020,440025535,2,2,2,2,5,1,3,0,0,2,0,0,9,6,E01023022,-1,0,0.01428,0.98572,-1
2020470982034,2020,470982034,1,1,2,1,31,6,3,0,0,1,0,0,9,5,E01030572,3,1,0,1,-1
2020420937431,2020,420937431,1,1,3,2,62,9,2,4,1,0,0,0,0,4,E01022049,7,1,1,0,-1
2020010239881,2020,010239881,1,1,1,1,60,9,3,0,0,0,0,0,9,10,E01023551,-1,0,0,1,-1
2020137250230,2020,137250230,1,1,1,1,75,10,3,0,0,0,0,0,9,1,E01011667,-1,0,0.06231,0.93769,-1
2020200930143,2020,200930143,2,3,2,2,25,5,3,0,0,1,0,0,9,1,E01009335,3,1,0,1,-1
2020420933930,2020,420933930,2,4,2,2,14,3,3,0,0,1,0,0,9,4,E01021506,3,1,0,1,-1
2020552001177,2020,552001177,1,1,3,1,31,6,2,6,9,0,0,0,0,4,E01015382,-1,0,1,0,-1
2020451009045,2020,451009045,1,1,1,1,47,8,3,0,0,0,0,0,5,10,E01030868,3,1,0,1,-1
2020010243053,2020,010243053,1,1,2,2,43,7,3,0,0,1,0,0,8,7,E01003853,-1,0,0,1,-1
2020370933329,2020,370933329,1,1,3,1,53,8,3,6,9,0,0,0,0,2,E01030131,3,1,0,1,-1
2020052001143,2020,052001143,2,1,1,1,63,9,3,0,0,0,0,0,1,2,E01006912,-1,0,0.15138,0.84862,-1
202031C171520,2020,31C171520,2,1,1,1,18,4,2,0,0,0,0,0,1,1,E01013954,-1,0,1,0,-1
2020010251290,2020,010251290,1,1,1,1,46,8,3,0,0,0,0,0,9,2,E01024604,-1,0,0,1,-1
2020350934929,2020,350934929,2,2,1,1,53,8,3,0,0,0,0,0,9,9,E01023465,3,1,0,1,-1
2020010253044,2020,010253044,1,1,3,2,84,11,3,4,3,0,0,0,0,5,E01000430,-1,0,0,1,-1
2020010287853,2020,010287853,1,2,2,-1,-1,-1,3,0,0,1,0,0,9,4,E01001511,-1,0,0,1,-1
2020200997054,2020,200997054,2,1,1,1,58,9,3,0,0,0,0,0,9,2,E01008883,3,1,0,1,-1
